id_estado,estado,estado_activo
1,Aguascalientes,0
2,Baja California,0
3,Baja California Sur,0
4,Campeche,0
6,Chiapas,0
7,Chihuahua,0
8,Coahuila,0
9,Colima,0
10,Durango,0
11,Guanajuato,0
12,Guerrero,0
13,Hidalgo,0
14,Jalisco,0
15,Estado de México,0
16,Michoacan,0
17,Morelos,0
18,Nayarit,0
19,Nuevo Leon,0
20,Oaxaca,0
21,Puebla,0
22,Queretaro,0
23,Quintana Roo,0
24,San Luis Potosí,0
25,Sinaloa,0
26,Sonora,1
27,Tabasco,0
28,Tamaulipas,0
29,Tlaxcala,0
30,Veracruz,0
31,Yucatan,0
32,Zacatecas,0
5,Ciudad de México,0
