id_localidad,localidad,padre,id_municipio,localidad_activo
1,Aconchi,,1,1
2,Agua Caliente,,1,1
3,Barranca las Higueritas,,1,1
4,Chavoverachi,,1,1
5,El Rodeo,,1,1
6,El Tarais,,1,1
7,Establo López,,1,1
8,Havinanchi,,1,1
9,La Alameda,,1,1
10,La Alamedita,,1,1
11,La Estancia,,1,1
12,La Higuera,,1,1
13,La Loma,,1,1
14,La Misión,,1,1
15,La Sauceda,,1,1
16,Las Albóndigas,,1,1
17,Las Garzas,,1,1
18,Los Alisos,,1,1
19,Maicobabi,,1,1
20,Rafael Noriega Soufflé,,1,1
21,Represo de Romo,,1,1
22,San Pablo,,1,1
23,Tepúa (El Carricito),,1,1
24,Tres Álamos,,1,1
25,Valencia,,1,1
26,18 de Agosto (Corral de Palos),,2,1
27,Abel Acosta Anaya,,2,1
28,Adán Zorilla,,2,1
29,Adolfo Ortíz,,2,1
30,Agua Blanca,,2,1
31,Agua Prieta,,2,1
32,Albergue Divina Providencia,,2,1
33,Alberto Gracía Grijalva,,2,1
34,Alejandro Contreras Murillo,,2,1
35,Alfonso García Romo,,2,1
36,Alfredo Díaz Soto,,2,1
37,Altagracia Betancurt Solís,,2,1
38,Antonio Coronado Díaz (Kilómetro Siete),,2,1
39,Antonio Cuadras,,2,1
40,Arias,,2,1
41,Armando Gámez,,2,1
42,Arnulfo Robles Bustamante,,2,1
43,Atilano Barrón,,2,1
44,Avitia,,2,1
45,Basurero Municipal,,2,1
46,Bella Vista,,2,1
47,Benito Domínguez Ballesteros,,2,1
48,Benito Gámez Nuñez,,2,1
49,Blas Domínguez,,2,1
50,Buena Vista,,2,1
51,Cabullona,,2,1
52,Campo Verde,,2,1
53,Candelaria Chávez de Robinson,,2,1
54,Capri,,2,1
55,Carlos de la Madrid,,2,1
56,Carlos Villagómez Aldai,,2,1
57,Cayo Méndez,,2,1
58,Celedonio Martínez,,2,1
59,Centro de Readaptación Social (CERESO),,2,1
60,Clara Eloísa Gastelum,,2,1
61,Club de Tiro el Bajío,,2,1
62,Colonia Morelos,,2,1
63,Colonia Seca,,2,1
64,Cornelio Preciado (Kilómetro Seis),,2,1
65,Corralón Federal,,2,1
66,Crimilda Gómez Montaño,,2,1
67,Cuchuverachi,,2,1
68,David Muñoz Orona,,2,1
69,Dora Luz Soto,,2,1
70,Dos Alamitos [Rancho],,2,1
71,El Alamito,,2,1
72,El Álamo,,2,1
73,El Álamo (Enrique Traín),,2,1
74,El Alisal,,2,1
75,El Apache,,2,1
76,El Azufre,,2,1
77,El Boludo,,2,1
78,El Cachanilla,,2,1
79,El Camionero [Restaurante],,2,1
80,El Capadero,,2,1
81,El Carricito,,2,1
82,El Cemento,,2,1
83,El Cumarito,,2,1
84,El Cúmaro,,2,1
85,El Diablo,,2,1
86,El Fresnal,,2,1
87,El Fresno,,2,1
88,El Gis (El Fist),,2,1
89,El Greco,,2,1
90,El Hucaral,,2,1
91,El Lobo,,2,1
92,El Mahone,,2,1
93,El Manzanal [Rancho],,2,1
94,El Manzano,,2,1
95,El Mezquitalito,,2,1
96,El Mezquite,,2,1
97,El Mojón,,2,1
98,El Muerto,,2,1
99,El Nogal,,2,1
100,El Nogalito,,2,1
101,El Ojito,,2,1
102,El Oso,,2,1
103,El Palo Verde,,2,1
104,El Papalote,,2,1
105,El Papalote Mocho,,2,1
106,El Pinito,,2,1
107,El Pitahayo (Roberto Fu),,2,1
108,El Porvenir,,2,1
109,El Porvenir (Munguía),,2,1
110,El Potrero de la Sierra,,2,1
111,El Potrero Seco,,2,1
112,El Potrerón,,2,1
113,El Pozo,,2,1
114,El Pozo (San Juan),,2,1
