id_comisionista_modificacion,id_comisionista,id_estado,id_municipio,id_plaza,id_puesto,id_superior,alta,comentario,fecha_aplicacion,id_usuario,create,update
1,1,26,17,576,56,0,1,"",2019-11-09,75,2019-11-09 19:51:41,2020-04-12 21:00:00
2,2,26,30,557,57,0,1,"",2019-11-29,75,2019-11-29 19:02:07,2020-01-07 22:00:00
3,3,26,30,557,59,0,1,"",2019-11-29,75,2019-11-29 19:18:17,2019-11-28 22:00:00
4,4,26,30,557,60,0,1,"",2019-11-29,75,2019-11-29 19:23:53,
5,5,26,30,557,61,0,1,"",2019-11-29,75,2019-11-29 21:01:51,2019-11-29 22:00:00
6,6,26,30,557,62,3,1,"",2019-11-29,75,2019-11-29 21:06:09,2020-01-07 22:00:00
7,7,26,17,576,63,83,1,"",2019-11-29,75,2019-11-29 21:27:43,2020-06-19 21:00:00
8,8,26,17,549,64,3,1,"",2019-11-29,75,2019-11-29 21:33:57,2020-01-07 22:00:00
9,9,26,17,549,65,3,1,"",2019-11-29,75,2019-11-29 21:38:14,2020-01-07 22:00:00
10,10,26,58,550,63,3,1,"",2019-11-29,75,2019-11-29 21:41:21,2020-01-07 22:00:00
11,11,26,58,550,64,3,1,"",2019-11-29,75,2019-11-29 21:43:28,2020-01-07 22:00:00
12,12,26,58,550,65,0,1,"",2019-11-29,75,2019-11-29 21:46:41,2019-12-06 22:00:00
13,13,26,33,551,63,3,1,"",2019-11-29,75,2019-11-29 21:49:41,2020-01-07 22:00:00
14,14,26,33,551,64,3,1,"",2019-11-29,75,2019-11-29 21:51:27,2020-01-07 22:00:00
15,15,26,33,551,65,3,1,"",2019-11-29,75,2019-11-29 21:53:02,2020-01-07 22:00:00
16,16,26,18,558,63,3,1,"",2019-11-29,75,2019-11-29 21:56:24,2020-01-07 22:00:00
17,17,26,18,568,80,36,1,"",2019-11-29,75,2019-11-29 21:58:43,2020-06-19 21:00:00
18,18,26,66,552,63,3,1,"",2019-11-30,75,2019-11-29 22:01:06,2020-01-07 22:00:00
19,19,26,18,568,69,36,1,"",2019-11-30,75,2019-11-29 22:10:45,2020-06-19 21:00:00
20,20,26,66,552,64,0,1,"",2019-11-30,75,2019-11-29 22:12:30,2019-11-29 22:00:00
21,21,26,66,552,65,3,1,"",2019-11-30,75,2019-11-29 22:13:59,2020-01-12 22:00:00
22,22,26,38,553,63,3,1,"",2019-11-30,75,2019-11-29 22:15:52,2020-01-07 22:00:00
23,23,26,38,553,64,3,1,"",2019-11-30,75,2019-11-29 22:17:41,2020-01-07 22:00:00
24,24,26,38,553,65,3,1,"",2019-11-30,75,2019-11-29 22:19:17,2020-01-07 22:00:00
25,25,26,26,554,63,68,1,"",2019-11-30,75,2019-11-29 22:20:53,2021-02-28 22:00:00
26,26,26,26,554,64,68,1,"",2019-11-30,75,2019-11-29 22:23:05,2021-02-28 22:00:00
27,27,26,26,554,65,68,1,"",2019-11-30,75,2019-11-29 22:26:49,2021-02-28 22:00:00
28,28,26,36,555,63,0,1,"",2019-11-30,75,2019-11-29 22:29:10,2019-11-29 22:00:00
29,29,26,36,555,64,0,1,"",2019-11-30,75,2019-11-29 22:30:37,2019-11-29 22:00:00
30,30,26,36,555,65,3,1,"",2019-11-30,75,2019-11-29 22:32:06,2020-03-22 21:00:00
31,31,26,25,556,63,0,1,"",2019-11-30,75,2019-11-29 22:33:47,2019-11-29 22:00:00
32,32,26,25,556,64,0,1,"",2019-11-30,75,2019-11-29 22:35:48,2019-11-29 22:00:00
33,33,26,25,556,65,3,1,"",2019-11-30,75,2019-11-29 22:37:44,2020-03-22 21:00:00
34,34,26,58,550,65,3,1,"",2019-12-07,75,2019-12-06 17:38:01,2020-01-07 22:00:00
35,35,26,36,584,52,35,1,"",2019-12-07,75,2019-12-06 17:39:59,2020-03-25 21:00:00
36,36,26,18,568,67,0,1,"",2019-12-07,75,2019-12-06 17:54:00,2019-12-06 22:00:00
37,37,26,18,568,74,36,1,"",2019-12-07,75,2019-12-06 18:02:51,2020-01-13 22:00:00
38,38,26,18,569,67,0,1,"",2019-12-07,75,2019-12-06 18:09:24,2019-12-06 22:00:00
39,39,26,18,569,63,0,1,"",2019-12-07,75,2019-12-06 18:12:54,2019-12-06 22:00:00
40,40,26,18,569,80,36,1,"",2019-12-07,75,2019-12-06 18:14:40,2020-01-07 22:00:00
41,41,26,18,570,66,36,1,"",2019-12-07,75,2019-12-06 18:16:05,2020-01-07 22:00:00
42,42,26,18,569,80,45,1,"",2019-12-07,75,2019-12-06 18:19:05,2020-04-23 21:00:00
43,43,26,18,568,63,0,1,"",2019-12-07,75,2019-12-06 18:21:02,
44,44,26,18,568,82,36,1,"",2019-12-07,75,2019-12-06 18:23:13,2020-06-19 21:00:00
45,45,26,18,569,66,36,1,"",2019-12-07,75,2019-12-06 18:24:19,2020-01-13 22:00:00
46,46,26,18,569,63,36,1,"",2019-12-07,75,2019-12-06 18:29:17,2020-01-13 22:00:00
47,47,26,18,563,68,36,1,"",2019-12-07,75,2019-12-06 18:31:01,2020-01-07 22:00:00
48,48,26,18,569,80,36,1,"",2019-12-07,75,2019-12-06 18:42:52,2020-01-07 22:00:00
49,49,26,18,568,69,36,1,"",2019-12-07,75,2019-12-06 18:43:56,2020-01-07 22:00:00
50,50,26,43,565,61,54,1,"",2019-12-07,75,2019-12-06 18:46:16,2020-01-07 22:00:00
51,51,26,43,565,74,54,1,"",2019-12-07,75,2019-12-06 18:48:04,2020-03-22 21:00:00
52,52,26,43,565,70,54,1,"",2019-12-07,75,2019-12-06 18:49:47,2020-01-07 22:00:00
53,53,26,43,565,63,54,1,"",2019-12-07,75,2019-12-06 18:51:15,2020-01-07 22:00:00
54,54,26,30,557,55,0,1,"",2019-12-07,75,2019-12-06 18:56:29,2020-03-23 21:00:00
55,55,26,55,566,52,0,1,"",2019-12-07,75,2019-12-06 18:57:59,2019-12-06 22:00:00
56,56,26,55,566,63,55,1,"",2019-12-07,75,2019-12-06 19:00:02,2020-06-19 21:00:00
57,57,26,55,566,66,55,1,"",2019-12-07,75,2019-12-06 19:01:04,2020-03-22 21:00:00
58,58,26,55,566,80,55,1,"",2019-12-07,75,2019-12-06 19:02:13,2020-01-07 22:00:00
59,59,26,55,566,69,55,1,"",2019-12-07,75,2019-12-06 19:03:40,2020-01-12 22:00:00
60,60,26,55,566,80,55,1,"",2019-12-07,75,2019-12-06 19:04:50,2020-06-19 21:00:00
61,61,26,29,567,52,54,1,"",2019-12-07,75,2019-12-06 19:09:13,2020-01-07 22:00:00
62,62,26,29,567,65,0,1,"",2019-12-07,75,2019-12-06 19:11:00,2019-12-06 22:00:00
63,63,26,29,567,80,54,1,"",2019-12-07,75,2019-12-06 19:12:33,2020-01-07 22:00:00
64,64,26,29,567,63,65,1,"",2019-12-07,75,2019-12-06 19:15:15,2020-01-07 22:00:00
65,65,26,29,567,77,0,1,"",2019-12-07,75,2019-12-06 19:21:37,2020-01-07 22:00:00
