id_programa,id_estado,id_municipio,id_localidad,id_estado2,id_municipio2,id_plaza,id_comisionista,fecha,id_tipo_actividad,id_actividad,id_tema,mujeres,hombres,discapacidad,etnia,foto,lista_asistencia,ficha_tecnica,status,username,create_date,update_date
21,26,17,2584,26,17,576,84,2021-01-14,1,22,3,10,0,0,0,0,0,0,1,admin,2021-01-28 22:46:16,2021-04-08 19:17:10
22,26,17,2861,26,17,576,83,2020-01-20,1,22,21,53,20,0,0,0,0,0,1,luisaagpo,2021-01-29 21:32:05,
23,26,17,2584,26,17,576,84,2020-01-21,1,22,2,0,68,0,0,0,0,0,1,luisaagpo,2021-01-29 21:42:05,
24,26,17,2584,26,17,576,83,2020-01-21,1,22,2,0,56,0,0,0,0,0,1,luisaagpo,2021-02-04 20:02:32,
25,26,30,8112,26,30,557,93,2020-01-09,1,22,2,9,10,0,0,0,0,0,1,luisaagpo,2021-02-04 20:35:28,
26,26,30,8112,26,30,557,93,2020-01-09,1,22,2,15,9,0,0,0,0,0,1,luisaagpo,2021-02-04 20:45:55,
27,26,30,8112,26,30,557,94,2020-01-10,1,22,2,15,12,0,0,0,0,0,1,luisaagpo,2021-02-04 20:50:27,
28,26,30,8112,26,30,557,94,2020-01-10,1,22,2,14,10,0,0,0,0,0,1,luisaagpo,2021-02-04 20:52:26,
29,26,30,8112,26,30,557,89,2020-01-09,1,22,37,11,0,0,0,0,0,0,1,luisaagpo,2021-02-04 21:03:19,
30,26,30,8112,26,30,557,93,2020-01-10,1,22,2,11,11,0,0,0,0,0,1,luisaagpo,2021-02-08 21:10:24,
31,26,30,8112,26,30,557,78,2020-01-13,1,22,6,25,3,0,0,0,0,0,1,luisaagpo,2021-02-08 21:12:29,
32,26,30,8112,26,30,557,78,2020-01-14,1,22,6,25,20,0,0,0,0,0,1,luisaagpo,2021-02-08 21:14:17,
33,26,30,8112,26,30,557,78,2020-01-15,1,22,6,13,3,0,0,0,0,0,1,luisaagpo,2021-02-08 21:16:13,
34,26,30,8112,26,30,557,87,2020-01-16,1,22,2,5,6,0,0,0,0,0,1,luisaagpo,2021-02-08 21:19:36,
35,26,30,8112,26,30,557,94,2020-01-16,1,22,2,11,4,0,0,0,0,0,1,luisaagpo,2021-02-08 21:21:35,
36,26,30,8112,26,30,557,78,2020-01-16,1,22,6,9,4,0,0,0,0,0,1,luisaagpo,2021-02-09 17:47:04,
37,26,30,8112,26,30,557,87,2020-01-17,1,22,2,10,10,0,0,0,0,0,1,luisaagpo,2021-02-09 17:52:07,
38,26,30,8112,26,30,557,93,2020-01-17,1,22,19,12,11,0,0,0,0,0,1,luisaagpo,2021-02-09 17:53:59,
39,26,30,8112,26,30,557,93,2020-01-17,1,22,19,12,9,0,0,0,0,0,1,luisaagpo,2021-02-09 17:55:59,
40,26,30,8112,26,30,557,93,2020-01-17,1,22,19,12,5,0,0,0,0,0,1,luisaagpo,2021-02-09 17:59:30,
41,26,30,8112,26,30,557,92,2020-01-17,1,22,30,17,4,0,0,0,0,0,1,luisaagpo,2021-02-09 18:01:48,
42,26,30,8112,26,30,557,77,2020-01-22,1,8,8,1,24,0,0,0,0,0,1,luisaagpo,2021-02-09 18:22:35,
43,26,30,8112,26,30,557,89,2020-01-22,1,22,37,14,0,0,0,0,0,0,1,luisaagpo,2021-02-09 18:32:35,
44,0,0,0,0,0,557,78,2021-02-09,1,22,8,1,24,0,0,0,0,0,1,luisaagpo,2021-02-09 18:35:14,2021-04-09 03:35:05
45,26,30,8112,26,30,557,78,2020-01-29,1,22,8,0,21,0,0,0,0,0,1,luisaagpo,2021-02-09 19:16:11,
46,26,30,8112,26,30,557,77,2020-01-29,1,8,8,1,19,0,0,0,0,0,1,luisaagpo,2021-02-09 19:18:23,
47,26,30,8112,26,30,557,78,2020-01-30,1,22,35,14,4,0,0,0,0,0,1,luisaagpo,2021-02-09 19:20:48,
48,26,30,8112,26,30,557,94,2020-01-30,1,22,29,6,0,0,0,0,0,0,1,luisaagpo,2021-02-10 21:09:38,
49,26,30,8112,26,30,557,77,2020-01-30,1,8,8,0,30,0,0,0,0,0,1,luisaagpo,2021-02-10 21:12:38,
50,26,30,8112,26,30,557,78,2020-01-31,1,22,28,19,22,0,0,0,0,0,1,luisaagpo,2021-02-10 21:14:13,
51,26,30,8101,26,30,557,78,2020-02-05,1,22,8,2,33,0,0,0,0,0,1,luisaagpo,2021-02-10 21:23:38,
52,26,30,8112,26,30,557,91,2020-02-06,1,22,23,9,0,0,0,0,0,0,1,luisaagpo,2021-02-10 21:26:17,
53,26,30,8112,26,30,557,91,2020-02-07,1,22,23,5,7,0,0,0,0,0,1,luisaagpo,2021-02-11 18:26:50,
54,26,30,8112,26,30,557,78,2020-02-07,1,22,10,8,6,0,0,0,0,0,1,luisaagpo,2021-02-12 21:22:25,
55,26,30,8112,26,30,557,77,2020-02-10,1,8,8,1,15,0,0,0,0,0,1,luisaagpo,2021-02-12 21:24:44,
56,26,30,8112,26,30,557,78,2020-02-10,1,22,14,16,6,0,0,0,0,0,1,luisaagpo,2021-02-12 21:27:52,
57,26,30,8112,26,30,557,89,2020-02-12,1,22,37,24,12,0,0,0,0,0,1,luisaagpo,2021-02-15 20:42:28,
58,26,30,8112,26,30,557,77,2020-02-12,1,8,21,11,0,0,0,0,0,0,1,luisaagpo,2021-02-15 20:45:51,
59,26,30,8112,26,30,557,78,2020-02-13,1,22,35,22,12,0,0,0,0,0,1,luisaagpo,2021-02-15 20:58:44,
60,26,30,8112,26,30,557,87,2021-02-15,1,22,30,5,2,0,0,0,0,0,1,luisaagpo,2021-02-15 21:03:06,
61,26,30,8112,26,30,557,77,2020-02-13,1,8,8,1,17,0,0,0,0,0,1,luisaagpo,2021-02-16 21:18:35,
62,26,30,8112,26,30,557,132,2020-02-20,1,22,3,23,2,0,0,0,0,0,1,luisaagpo,2021-02-16 21:22:27,
63,26,30,8112,26,30,557,89,2020-02-20,1,22,37,22,18,0,0,0,0,0,1,luisaagpo,2021-02-16 21:26:52,
64,26,43,19234,26,30,557,54,2020-02-20,1,22,12,27,3,0,0,0,0,0,1,luisaagpo,2021-02-16 21:38:15,
65,26,30,8112,26,30,557,78,2020-02-21,1,22,10,7,3,0,0,0,0,0,1,luisaagpo,2021-02-17 17:21:55,
66,26,30,8112,26,30,557,78,2020-02-21,1,22,35,5,4,0,0,0,0,0,1,luisaagpo,2021-02-17 17:23:47,
67,26,30,8112,26,30,557,77,2020-02-22,1,22,21,13,0,0,0,0,0,0,1,luisaagpo,2021-02-17 21:54:20,
68,26,30,8112,26,30,557,77,2020-02-25,1,8,8,0,15,0,0,0,0,0,1,luisaagpo,2021-02-17 21:56:19,
69,26,30,8112,26,30,557,78,2020-02-26,1,22,8,0,15,0,0,0,0,0,1,luisaagpo,2021-02-17 22:00:03,
70,26,30,8112,26,30,557,89,2020-02-27,1,22,11,34,26,0,0,0,0,0,1,luisaagpo,2021-02-17 22:04:24,
71,26,30,8112,26,30,557,77,2020-02-27,1,22,10,13,3,0,0,0,0,0,1,luisaagpo,2021-02-17 22:09:47,
72,26,30,8112,26,30,557,54,2020-02-27,1,22,5,7,11,0,0,0,0,0,1,luisaagpo,2021-02-17 22:18:31,
73,26,30,8112,26,30,557,78,2020-02-27,1,22,5,10,1,0,0,0,0,0,1,luisaagpo,2021-02-17 22:36:15,
74,26,30,8112,26,30,557,77,2020-03-02,1,22,24,19,6,0,0,0,0,0,1,luisaagpo,2021-02-17 22:40:31,
75,26,30,8112,26,30,557,77,2020-03-04,1,22,2,11,8,0,0,0,0,0,1,luisaagpo,2021-02-17 22:53:18,
