id_pro_arch,id_programa,id_archivo
4,21,12
5,21,13
6,21,14
7,22,15
8,22,16
9,22,17
10,23,18
11,23,19
12,23,20
13,24,21
14,24,22
15,24,23
16,25,24
17,25,25
18,25,26
19,26,27
20,26,28
21,26,29
22,27,30
23,27,31
24,27,32
25,28,33
26,28,34
27,28,35
28,29,36
29,29,37
30,29,38
31,30,39
32,30,40
33,30,41
34,31,42
35,31,43
36,31,44
37,32,45
38,32,46
39,32,47
40,33,48
41,33,49
42,33,50
43,34,51
44,34,52
45,34,53
46,35,54
47,35,55
48,35,56
49,36,57
50,36,58
51,36,59
52,37,60
53,37,61
54,37,62
55,38,63
56,38,64
57,38,65
58,39,66
59,39,67
60,39,68
61,40,69
62,40,70
63,40,71
64,41,72
65,41,73
66,41,74
67,42,75
68,42,76
69,42,77
70,43,78
71,43,79
72,43,80
73,44,81
74,44,82
75,44,83
76,45,84
77,45,85
78,45,86
79,46,87
80,46,88
81,46,89
82,47,90
83,47,91
84,47,92
85,48,93
86,48,94
87,48,95
88,49,96
89,49,97
90,49,98
91,50,99
92,50,100
93,50,101
94,51,102
95,51,103
96,51,104
97,52,105
98,52,106
99,52,107
100,53,108
101,53,109
102,53,110
103,54,111
104,54,112
105,54,113
106,55,114
107,55,115
108,55,116
109,56,117
110,56,118
111,56,119
112,57,120
113,57,121
114,57,122
115,58,123
116,58,124
117,58,125
118,59,126
119,59,127
120,59,128
121,60,129
122,60,130
123,60,131
124,61,132
125,61,133
126,61,134
127,62,135
128,62,136
129,62,137
130,63,138
131,63,139
132,63,140
133,64,141
134,64,142
135,64,143
136,65,144
137,65,145
138,65,146
139,66,147
140,66,148
141,66,149
142,67,150
143,67,151
144,67,152
145,68,153
146,68,154
147,68,155
148,69,156
149,69,157
150,69,158
151,70,159
152,70,160
153,70,161
154,71,162
155,71,163
156,71,164
157,72,165
158,72,166
159,72,167
160,73,168
161,73,169
162,73,170
163,74,171
164,74,172
165,74,173
166,75,174
167,75,175
168,75,176
169,76,177
170,76,178
171,76,179
172,77,180
173,77,181
174,77,182
175,78,183
176,78,184
177,78,185
178,79,186
179,79,187
180,79,188
181,80,189
182,80,190
183,80,191
184,81,192
185,81,193
186,82,194
187,82,195
188,82,196
189,83,197
190,83,198
191,83,199
192,84,200
193,84,201
194,84,202
195,85,203
196,85,204
197,85,205
198,86,206
199,86,207
200,86,208
201,87,209
202,87,210
203,87,211
204,88,212
205,88,213
206,88,214
207,89,215
208,89,216
209,89,217
210,90,218
211,90,219
212,90,220
213,91,221
214,91,222
215,91,223
216,92,224
217,92,225
218,92,226
219,93,227
220,93,228
221,93,229
222,94,230
223,94,231
224,94,232
225,95,233
226,95,234
227,95,235
228,96,236
229,96,237
230,96,238
231,97,239
232,97,240
233,97,241
234,98,242
235,98,243
236,98,244
237,99,245
238,99,246
239,99,247
240,100,248
241,100,249
242,100,250
243,101,251
244,101,252
245,101,253
246,102,254
247,102,255
248,102,256
249,103,257
250,103,258
251,103,259
252,104,260
253,104,261
254,104,262
255,105,263
256,105,264
257,105,265
258,106,266
259,106,267
260,106,268
261,107,269
262,107,270
263,107,271
264,108,272
265,108,273
266,108,274
267,109,275
268,109,276
269,109,277
270,110,278
271,110,279
272,110,280
273,111,281
274,111,282
275,111,283
276,112,284
277,112,285
278,112,286
279,113,287
280,113,288
281,113,289
282,114,290
283,114,291
284,114,292
285,115,293
286,115,294
287,115,295
288,116,296
289,116,297
290,117,298
291,117,299
292,117,300
293,118,301
294,118,302
295,118,303
296,119,304
297,119,305
298,119,306
299,120,307
300,120,308
301,120,309
302,121,310
303,121,311
304,121,312
305,122,313
306,122,314
307,122,315
308,123,316
309,123,317
310,123,318
311,124,319
312,124,320
313,124,321
314,125,322
315,125,323
316,125,324
317,126,325
318,126,326
319,126,327
320,127,328
321,127,329
322,127,330
323,128,331
324,128,332
325,128,333
326,129,334
327,129,335
328,129,336
329,130,337
330,130,338
331,130,339
332,131,340
333,131,341
334,131,342
335,132,343
336,132,344
337,132,345
338,133,346
339,133,347
340,133,348
341,134,349
342,134,350
343,134,351
344,135,352
345,135,353
346,135,354
347,136,355
348,136,356
349,136,357
350,137,358
351,137,359
352,137,360
353,138,361
354,138,362
355,138,363
356,139,364
357,139,365
358,139,366
359,140,367
360,140,368
361,140,369
362,141,370
363,141,371
364,141,372
365,142,373
366,142,374
367,142,375
368,143,376
369,143,377
370,143,378
371,144,379
372,144,380
373,144,381
374,145,382
375,145,383
376,145,384
377,146,385
378,146,386
379,146,387
380,147,388
381,147,389
382,147,390
383,148,391
384,148,392
385,148,393
386,149,394
387,149,395
388,149,396
389,150,397
390,150,398
391,150,399
392,151,400
393,151,401
394,151,402
395,152,403
396,152,404
397,152,405
398,153,406
399,153,407
400,153,408
401,154,409
402,154,410
403,154,411
404,155,412
405,155,413
406,155,414
407,156,415
408,156,416
409,156,417
410,157,418
411,157,419
412,158,420
413,158,421
414,158,422
415,159,423
416,159,424
417,159,425
418,160,426
419,160,427
420,160,428
421,161,429
422,161,430
423,161,431
424,162,432
425,162,433
426,162,434
427,163,435
428,163,436
429,164,437
430,164,438
431,165,439
432,165,440
433,165,441
434,166,442
435,166,443
436,166,444
437,167,445
438,167,446
439,167,447
440,168,448
441,168,449
442,168,450
443,169,451
444,169,452
445,169,453
446,170,454
447,170,455
448,170,456
449,171,457
450,171,458
451,171,459
452,172,460
453,172,461
454,172,462
455,173,463
456,173,464
457,173,465
458,174,466
459,174,467
460,174,468
461,175,469
462,175,470
463,175,471
464,176,472
465,176,473
466,176,474
467,177,475
468,177,476
469,177,477
470,178,478
471,178,479
472,180,480
473,180,481
474,181,482
475,181,483
476,181,484
477,182,485
478,182,486
479,182,487
480,183,488
481,183,489
482,183,490
483,184,491
484,184,492
485,184,493
486,185,494
487,185,495
488,185,496
489,186,497
490,186,498
491,188,499
492,188,500
493,188,501
494,190,502
495,190,503
496,190,504
497,191,505
498,191,506
499,191,507
500,192,508
501,192,509
502,193,510
503,193,511
504,193,512
505,194,513
506,194,514
507,194,515
508,195,516
509,195,517
510,195,518
511,196,519
512,196,520
513,196,521
514,197,522
515,197,523
516,197,524
517,198,525
518,198,526
519,198,527
520,199,528
521,199,529
522,199,530
523,200,531
524,200,532
525,200,533
526,201,534
527,201,535
528,201,536
529,202,537
530,202,538
531,202,539
532,203,540
533,203,541
534,203,542
535,204,543
536,204,544
537,204,545
538,205,546
539,205,547
540,205,548
541,206,549
542,206,550
543,207,551
544,207,552
545,207,553
546,208,554
547,208,555
548,208,556
549,209,557
550,209,558
551,210,559
552,210,560
553,211,561
554,211,562
555,211,563
556,212,564
557,212,565
558,212,566
559,213,567
560,213,568
561,213,569
562,214,570
563,214,571
564,215,572
565,215,573
566,215,574
567,216,575
568,216,576
569,216,577
570,217,578
571,217,579
572,217,580
573,218,581
574,218,582
575,218,583
576,219,584
577,219,585
578,219,586
579,220,587
580,220,588
581,220,589
582,221,590
583,221,591
584,221,592
585,222,593
586,222,594
587,222,595
588,223,596
589,223,597
590,223,598
591,224,599
592,224,600
593,224,601
594,225,602
595,225,603
596,225,604
597,226,605
598,226,606
599,226,607
600,227,608
601,227,609
602,227,610
603,228,611
604,228,612
605,228,613
606,229,614
607,229,615
608,229,616
609,230,617
610,230,618
611,230,619
612,231,620
613,231,621
614,231,622
615,232,623
616,232,624
617,232,625
618,233,626
619,233,627
620,233,628
621,234,629
622,234,630
623,234,631
624,235,632
625,235,633
626,235,634
627,236,635
628,236,636
629,236,637
630,237,638
631,237,639
632,237,640
633,238,641
634,238,642
635,238,643
636,239,644
637,239,645
638,240,646
639,240,647
640,240,648
641,241,649
642,241,650
643,241,651
644,242,652
645,242,653
646,242,654
647,244,655
648,244,656
649,245,657
650,245,658
651,246,659
652,246,660
653,247,661
654,247,662
655,248,663
656,248,664
657,248,665
658,249,666
659,249,667
660,249,668
661,250,669
662,250,670
663,250,671
664,251,672
665,251,673
666,251,674
667,252,675
668,252,676
669,253,677
670,253,678
671,253,679
672,254,680
673,254,681
674,254,682
675,255,683
676,255,684
677,255,685
678,256,686
679,256,687
680,257,688
681,257,689
682,257,690
683,258,691
684,258,692
685,259,693
686,259,694
687,259,695
688,260,696
689,260,697
690,260,698
691,261,699
692,261,700
693,261,701
694,262,702
695,262,703
696,262,704
697,263,705
698,263,706
699,263,707
700,264,708
701,264,709
702,264,710
703,265,711
704,265,712
705,265,713
706,266,714
707,266,715
708,266,716
709,267,717
710,267,718
711,268,719
712,268,720
713,269,721
714,269,722
715,269,723
716,270,724
717,270,725
718,271,726
719,271,727
720,272,728
721,272,729
722,272,730
723,273,731
724,273,732
725,273,733
726,274,734
727,274,735
728,274,736
729,275,737
730,275,738
731,276,739
732,276,740
733,276,741
734,277,742
735,277,743
736,277,744
737,278,745
738,278,746
739,278,747
740,279,748
741,279,749
742,280,750
743,280,751
744,280,752
745,281,753
746,281,754
747,281,755
748,282,756
749,282,757
750,282,758
751,283,759
752,283,760
753,284,761
754,284,762
755,285,763
756,285,764
757,286,765
758,286,766
759,286,767
760,287,768
761,287,769
762,288,770
763,288,771
764,288,772
765,289,773
766,289,774
767,289,775
768,290,776
769,290,777
770,290,778
771,291,779
772,291,780
773,291,781
774,292,782
775,292,783
776,294,784
777,294,785
778,294,786
779,295,787
780,295,788
781,295,789
782,296,790
783,296,791
784,296,792
785,297,793
786,297,794
787,297,795
788,298,796
789,298,797
790,299,798
791,299,799
792,299,800
793,300,801
794,300,802
795,300,803
796,301,804
797,301,805
798,302,806
799,302,807
800,302,808
801,303,809
802,303,810
803,303,811
804,304,812
805,304,813
806,304,814
807,305,815
808,305,816
809,305,817
810,306,818
811,306,819
812,306,820
813,307,821
814,307,822
815,307,823
816,308,824
817,308,825
818,308,826
819,309,827
820,309,828
821,310,829
822,310,830
823,310,831
824,311,832
825,311,833
826,311,834
827,312,835
828,312,836
829,312,837
830,313,838
831,313,839
832,313,840
833,314,841
834,314,842
835,314,843
836,315,844
837,315,845
838,316,846
839,316,847
840,316,848
841,317,849
842,317,850
843,317,851
844,318,852
845,318,853
846,318,854
847,319,855
848,319,856
849,319,857
850,320,858
851,320,859
852,320,860
853,321,861
854,321,862
855,322,863
856,322,864
857,323,865
858,323,866
859,323,867
860,324,868
861,324,869
862,324,870
863,325,871
864,325,872
865,325,873
866,327,874
867,327,875
868,327,876
869,328,877
870,328,878
871,328,879
872,329,880
873,329,881
874,329,882
875,330,883
876,330,884
877,330,885
878,331,886
879,331,887
880,331,888
881,332,889
882,332,890
883,332,891
884,333,892
885,333,893
886,333,894
887,334,895
888,334,896
889,334,897
890,335,898
891,335,899
892,335,900
893,336,901
894,336,902
895,336,903
896,337,904
897,337,905
898,337,906
899,338,907
900,338,908
901,338,909
902,339,910
903,339,911
904,339,912
905,340,913
906,340,914
907,340,915
908,341,916
909,341,917
910,341,918
911,342,919
912,342,920
913,342,921
914,343,922
915,343,923
916,343,924
917,344,925
918,344,926
919,344,927
920,345,928
921,345,929
922,345,930
923,346,931
924,346,932
925,346,933
926,347,934
927,347,935
928,347,936
929,348,937
930,348,938
931,348,939
932,349,940
933,349,941
934,349,942
935,350,943
